NOME,BAIRRO,RPA,REGIÃO,ENDEREÇO,LATITUDE,LONGITUDE,bairro_normalizado
CMPZ. MIG. ARRAES (Prc da Inffância),CAXANGA,4,OESTE,"Av. Caxangá com R. Fausto Cardoso - Madalena - Madalena, Recife - PE, 50610-390, Brazil",-8.05457775714707,-34.9141125288355,CAXANGA
COHAB ESCORREGOU TA DENTRO,CORDEIRO,4,OESTE,"R. Odete Monteiro, 106 - Cordeiro, Recife - PE, 50711-440, Brazil",-8.04432858048747,-34.92316846861,CORDEIRO
COMPAZ PAULO FREIRE (IBURA)-01,IBURA,6,SUL,"Ladeira da Cohab, 56 - Ibura, Recife - PE, 51280-000, Brazil",-8.11851316803163,-34.9458732509264,IBURA
COMPAZ PAULO FREIRE (IBURA)-02,IBURA,6,SUL,"Ladeira da Cohab, 56 - Ibura, Recife - PE, 51280-000, Brazil",-8.1185450319675,-34.9458839797626,IBURA
COMPAZ PAULO FREIRE (IBURA)-03,IBURA,6,SUL,"Ladeira da Cohab, 28 - Ibura, Recife - PE, 51290-000, Brazil",-8.11868572785148,-34.9457322576722,IBURA
COMPAZ PAULO FREIRE (IBURA)-04,IBURA,6,SUL,"R. Galo de Campína, 43 - COHAB, Recife - PE, 51290-609, Brazil",-8.11862166666255,-34.9454487137056,IBURA
COMUNIDADE CHIE-01,IPSEP,6,SUL,"R. Macaé, 122 - Torrões, Recife - PE, 51350-140, Brazil",-8.10540771410873,-34.9215708525791,IPSEP
COMUNIDADE CHIE-02,IPSEP,6,SUL,"R. Macaé, 165 - Torrões, Recife - PE, 51350-140, Brazil",-8.10525390234982,-34.9213802696256,IPSEP
COMUNIDADE CHIE-03,IPSEP,6,SUL,"R. Macaé, 122b - Torrões, Recife - PE, 51350-140, Brazil",-8.10493312535162,-34.9214361828161,IPSEP
COMUNIDADE CHIE-04,IPSEP,6,SUL,"R. Blumenau, 648 - Ipsep, Recife - PE, 51350-190, Brazil",-8.10472260243975,-34.9223701982897,IPSEP
COMUNIDADE CHIE-05,IPSEP,6,SUL,"R. Rio Jaratuba, 25 - Ipsep, Recife - PE, 51350-150, Brazil",-8.10502000927669,-34.9225311308317,IPSEP
COMUNIDADE CHIE-06,IPSEP,6,SUL,"R. Rio Doce, 223 - Ipsep, Recife - PE, 51350-130, Brazil",-8.10470473780148,-34.9201782675372,IPSEP
COMUNIDADE PORTELINHA-01,IPSEP,6,SUL,"R. Macaé, 122b - Torrões, Recife - PE, 51350-140, Brazil",-8.10472185099995,-34.9212654580946,IPSEP
COMUNIDADE PORTELINHA-02,IPSEP,6,SUL,"R. Macaé, 117 - Torrões, Recife - PE, 51350-140, Brazil",-8.10484861562426,-34.921836729278,IPSEP
COMUNIDADE PORTELINHA-03,IPSEP,6,SUL,"R. Virgínia Heráclio, 739 - Ipsep, Recife - PE, 51350-250, Brazil",-8.10592147095195,-34.9234127867679,IPSEP
COMUNIDADE PORTELINHA-04,IPSEP,6,SUL,"R. Virgínia Heráclio, 739 - Ipsep, Recife - PE, 51350-250, Brazil",-8.10592147095195,-34.9234127867679,IPSEP
COMUNIDADE PORTELINHA-05,IPSEP,6,SUL,"R. Virgínia Heráclio, 739 - Ipsep, Recife - PE, 51350-250, Brazil",-8.10592147095195,-34.9234127867679,IPSEP
COMUNIDADE SETE DE MAIO,IMBIRIBEIRA,6,SUL,"Rua Sargto.Silvio Delmar Holhembch - Imbiribeira, Recife - PE, 51150-000, Brazil",-8.1036182,-34.9091862,IMBIRIBEIRA
CONJ HAB VIA MANGUE-01,BOA VIAGEM,6,SUL,"R. Jemil Asfora, 160 - Pina, Recife - PE, 51110-200, Brazil",-8.0876077,-34.8928378,BOA VIAGEM
CONJ HAB VIA MANGUE-02,BOA VIAGEM,6,SUL,"R. Amador Bueno, 18 - Pina, Recife - PE, 51110-310, Brazil",-8.0884771,-34.8966573,BOA VIAGEM
EMLURB SEDE-01,BOA VISTA,1,CENTRO,"Av. Governador Carlos de Lima Cavalcanti, 1 - Boa Vista, Recife - PE, 50070-110, Brazil",-8.05625884869958,-34.8953973301561,BOA VISTA
ESCOLA PROFISSIONAL DE AREIAS-01,AREIAS,5,SUDESTE,"R. Ipojuca, 257 - Areias, Recife - PE, 50780-010, Brazil",-8.09407540005368,-34.9359035578059,AREIAS
ESCOLA SOCIAL DA COMUNIDADE BEM-01,IMBIRIBEIRA,6,SUL,"R. B, 23 - Imbiribeira, Recife - PE, 51150-290, Brazil",-8.10458557003434,-34.9066710982661,IMBIRIBEIRA
EXPOSICAO DO CORDEIRO-01,CORDEIRO,4,OESTE,"Baobá - Av. Gov. Paulo Pessoa Guerra - Cordeiro, Recife - PE, 50711-490, Brazil",-8.0444751,-34.9253497,CORDEIRO
FORTE DO BRUM-01,SANTO ANTONIO,1,CENTRO,"Porto Digital do - Recife, PE, 50030-230, Brazil",-8.05374599241129,-34.8708103049242,SANTO ANTONIO
HABITACIONAL ENCANTA MOCA-01,PINA,6,SUL,"R. José Rodrigues, 85 - Pina, Recife - PE, 51011-480, Brazil",-8.09700161921519,-34.8891990491791,PINA
HABITACIONAL ENCANTA MOCA-02,PINA,6,SUL,"R. José Rodrigues, 160 - Pina, Recife - PE, 51011-400, Brazil",-8.09610366363759,-34.8901132631572,PINA
HABITACIONAL SERGIO LORETO-01,SAO JOSE,1,CENTRO,"Praça Sérgio Lorêto, 1044 - São José, Recife - PE, 50020-200, Brazil",-8.07181226608559,-34.885130163475,SAO JOSE
HABITACIONAL TRAVESSA DO GUSMAO-01,SAO JOSE,1,CENTRO,"Tv. do Gusmão, 91 - São José, Recife - PE, 50020-520, Brazil",-8.07235701995706,-34.8872913536394,SAO JOSE
HOSPITAL VETERINARIO DO RECIFE-01,CORDEIRO,4,OESTE,"Av. Prof. Estevão F. da Costa, 23 - Cordeiro, Recife - PE, 50620-450, Brazil",-8.04437368837036,-34.9201174644189,CORDEIRO
ILHA DE DEUS-01,IMBIRIBEIRA,6,SUL,"R. Vila Neto, 30 - Pina, Recife - PE, 51110-430, Brazil",-8.087505,-34.900726,IMBIRIBEIRA
JARDIM BOTANICO-01,CURADO,5,SUDESTE,"Av. Getúlio Vargas, 1251 - Curado - Curado, Recife - PE, 50950-000, Brazil",-8.07531971958836,-34.9655562574108,CURADO
LAGOA DO ARACA-01,IMBIRIBEIRA,6,SUL,"R. Eng. José Brandão Cavalcante, 770-778 - Imbiribeira, Recife - PE, 51170-130, Brazil",-8.09271158293552,-34.9158625900914,IMBIRIBEIRA
