nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Da Restauraçao/ Do Pirulito,Praça,Rua Padre Floriano/ Rua Do Jardim,66885.0,,Praça da Restauração,"88,22923397","33,3156835",35,Sao Jose,-8.069986929,-34.8802037,88.22923397,SAO JOSE
Do Monteiro,Praça,Avenida Dezessete De Agosto,66729.0,,Praca do Monteiro,"668,8804646","106,0118735",485,Monteiro,-8.027913492,-34.92798922,668.8804646,MONTEIRO
Sérgio Loreto,Praça,Rua Imperial,66982.0,01395/24,Praça Sérgio Loreto,"4560,931602","311,952528",35,Sao Jose,-8.072488891,-34.8853334,4560.931602,SAO JOSE
Das Cinco Pontas,Praça,Rua Vidal De Negreiros/Rua Imperial,66176.0,01737/29,Praça das Cinco Pontas,"157,3078383","51,91709231",35,Sao Jose,-8.071880743,-34.88214292,157.3078383,SAO JOSE
Das Cinco Pontas,Praça,Rua Vidal De Negreiros,66176.0,01737/29,Praça das Cinco Pontas,"878,2432253","136,6903852",35,Sao Jose,-8.071573012,-34.88188765,878.2432253,SAO JOSE
Dezessete,Praça,Rua Imperador Pedro Ii,66273.0,,Praça Dezessete,"816,9992761","115,2610157",27,Santo Antonio,-8.065308057,-34.87691259,816.9992761,SANTO ANTONIO
Das Cinco Pontas,Praça,Rua Vidal De Negreiros,66176.0,01737/29,Praça das Cinco Pontas,"1463,617695","160,5477269",35,Sao Jose,-8.071007482,-34.88144625,1463.617695,SAO JOSE
Dom Vital,Praça,Rua Das Calcadas,67075.0,00318/42,Praça Dom Vital,"1096,675348","133,2604994",35,Sao Jose,-8.068186779,-34.87835072,1096.675348,SAO JOSE
Joaquim Nabuco,Praça,Rua Frei Caneca/ Cais Da Detencao,66575.0,5483/59,Praça Joaquim Nabuco,"1826,451645","186,412957",27,Santo Antonio,-8.064545759,-34.88125311,1826.451645,SANTO ANTONIO
Dezessete,Praça,Rua Imperador Pedro Ii / Avenida Martins De Barros,66273.0,,Praça Dezessete,"1151,809795","130,9991914",27,Santo Antonio,-8.065251334,-34.87653876,1151.809795,SANTO ANTONIO
Da Comunidade Luso - Brasileira,Praça,Cais Do Apolo/Avenida Militar,66184.0,10003/68,Praça da Comunidade Luso Brasileira,"1902,98919","173,5535226",19,Recife,-8.053736449,-34.87103187,1902.98919,RECIFE
Da Independência/ Diário De Pernambuco,Praça,Avenida Dantas Barreto/Rua Primeiro De Março,66303.0,11463/74,Praça da Independência,"2168,67139","205,9724732",27,Santo Antonio,-8.064166299,-34.87815957,2168.67139,SANTO ANTONIO
Chora Menino,Praça,Rua Paissandu/ Avenida Lins Petit,66192.0,,Praça Chora menino,"2372,239044","270,4761545",94,Paissandu,-8.060289347,-34.89488865,2372.239044,PAISSANDU
Rio Branco ( Marco Zero),Praça,Avenida Alfredo Lisboa,66869.0,00192/39,Praça Rio Branco,"5468,326667","294,4333486",19,Recife,-8.063157342,-34.87109061,5468.326667,RECIFE
Tiradentes,Praça,Cais Do Apolo/Rua Bione,60984.0,07930/62,Travessa Tiradentes,"5076,945565","276,5877931",19,Recife,-8.058698428,-34.87207801,5076.945565,RECIFE
,Area Verde,Rua Dr Jaime Da Fonte/Avenida Governador Agamenon Magalhaes,,,,"485,0326105","105,7618124",108,Santo Amaro,-8.040064717,-34.87845583,485.0326105,SANTO AMARO
General Carlos Pinto/ Largo Dos Casados,Praça,Rua Arlindo Melo/ Avenida Cruz Cabuga/ Rua Dos Casados,66230.0,00178/48,Praca General Carlos Pinto,"3250,886457","285,133871",108,Santo Amaro,-8.040097305,-34.87190978,3250.886457,SANTO AMARO
Do Rosario,Praça,Rua Francisco Lacerda,122998.0,,Praça do Rosário,"251,073068","120,0399718",736,Varzea,-8.050490532,-34.95836889,251.073068,VARZEA
Maciel Pinheiro,Praça,Rua Do Hospicio / Rua Do Aragao,66702.0,00027/46,Praça Maciel Pinheiro,"1343,102546","162,9794785",86,Boa Vista,-8.062376317,-34.88573807,1343.102546,BOA VISTA
Parque Amorim,Praça,Rua Joao Fernandes Vieira/Avenida Agamenon Magalhaes,73326.0,,Praça Parque Amorim,"1647,876963","198,0992465",86,Boa Vista,-8.052047649,-34.89498176,1647.876963,BOA VISTA
,Area Verde,Avenida Norte Miguel Arraes De Alencar/Avenida Governador Miguel Arraes De Alencar,,,,"83,38378095","38,14856386",108,Santo Amaro,-8.042891848,-34.88461108,83.38378095,SANTO AMARO
San Martin,Praça,Avenida General San Martin,119911.0,,Praça da Avenida General San Martin,"3062,605426","196,1893452",817,San Martin,-8.071011847,-34.92879124,3062.605426,SAN MARTIN
,Area Verde,Rua Nova Europa/ Rua Pedro Boulitreau/Trv Pedro Boulitreau/Rua Farroupilha,,,,"1935,777252","186,5333421",817,San Martin,-8.075195066,-34.93140072,1935.777252,SAN MARTIN
,Area Verde,Avenida Agamenon Magalhaes,,,,"739,6589317","128,198638",108,Santo Amaro,-8.040140979,-34.87885013,739.6589317,SANTO AMARO
Profeta Joseph Smith/ Da Santa,Praça,Avenida Engenheiro Domingos Ferreira,86487.0,14706/85,Praça Profeta Joseph Smith,"5938,539789","700,3519636",248,Pina,-8.096888965,-34.88604569,5938.539789,PINA
Miguel De Cervantes,Praça,Rua Francisco Alves,66672.0,3.340/55,Praça Miguel de Cervantes,"1037,065806","138,759571",78,Ilha Do Leite,-8.067558726,-34.89395077,1037.065806,ILHA DO LEITE
